"Dystedvej 12A, 4684 Holmegaard"
"Landevejen 42, 4684 Holmegaard"
"Thyrasvej 45B, Toksværd, 4684 Holmegaard"
"Thyrasvej 47A, Toksværd, 4684 Holmegaard"
"Thyrasvej 47B, Toksværd, 4684 Holmegaard"
"Hindbærsvinget 25, Fensmark, 4684 Holmegaard"
"Løgparken 24, Holme-Olstrup, 4684 Holmegaard"
"Kildealle 4A, Fensmark, 4684 Holmegaard"
"Kildealle 4B, Fensmark, 4684 Holmegaard"
"Thyrasvej 56, Toksværd, 4684 Holmegaard"
"Thyrasvej 58, Toksværd, 4684 Holmegaard"
"Troldehøjvej 8, Fensmark, 4684 Holmegaard"
"Ahornvej 3, 1. 37, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 10, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 12, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 15, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 17, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 19, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 20, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 28, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 27, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 26a, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 26, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 25, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 24, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 23, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 22, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 21, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 4, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 35, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 34, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 33, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 32, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 31, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 30, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 3, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 29, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 9, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 8, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 7, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 6, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 5, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 2, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 18, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 16, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 14, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 11, Fensmark, 4684 Holmegaard"
"Ahornvej 3, st. 1, Fensmark, 4684 Holmegaard"
"Duelundsvej 9, 4684 Holmegaard"
"Glasværksvej 21, st., Fensmark, 4684 Holmegaard"
"Glasværksvej 23, st., Fensmark, 4684 Holmegaard"
"Glasværksvej 25, st., Fensmark, 4684 Holmegaard"
"Glasværksvej 27, st., Fensmark, 4684 Holmegaard"
"Glasværksvej 33, Fensmark, 4684 Holmegaard"
"Glasværksvej 35, Fensmark, 4684 Holmegaard"
"Glasværksvej 37, st., Fensmark, 4684 Holmegaard"
"Glasværksvej 39, Fensmark, 4684 Holmegaard"
"Svinget 9, st., Fensmark, 4684 Holmegaard"
"Svinget 13, 1., Fensmark, 4684 Holmegaard"
"Svinget 15, Fensmark, 4684 Holmegaard"
"Flintevej 1A, Fensmark, 4684 Holmegaard"
"Flintevej 1C, Fensmark, 4684 Holmegaard"
"Flintevej 1D, Fensmark, 4684 Holmegaard"
"Blåbærsvinget 2, Fensmark, 4684 Holmegaard"
"Blåbærsvinget 7, Fensmark, 4684 Holmegaard"
"Blåbærsvinget 8, Fensmark, 4684 Holmegaard"
"Blåbærsvinget 11, Fensmark, 4684 Holmegaard"
"Blåbærsvinget 14, Fensmark, 4684 Holmegaard"
"Blåbærsvinget 19, Fensmark, 4684 Holmegaard"
"Brombærsvinget 2, Fensmark, 4684 Holmegaard"
"Hindbærsvinget 12, Fensmark, 4684 Holmegaard"
"Jordbærsvinget 5, Fensmark, 4684 Holmegaard"
"Gormsvej 6, Toksværd, 4684 Holmegaard"
"Hindbærsvinget 21, Fensmark, 4684 Holmegaard"
"Løgparken 10, Holme-Olstrup, 4684 Holmegaard"
"Granvej 3, Fensmark, 4684 Holmegaard"
"Kalkerupvej 19D, Fensmark, 4684 Holmegaard"
"Elverhøjvej 70, Fensmark, 4684 Holmegaard"
"Glasmagervej 7, Fensmark, 4684 Holmegaard"
"Glasmagervej 18, Fensmark, 4684 Holmegaard"
"Holmegaardsvej 56, st, Fensmark, 4684 Holmegaard"
"Tokesvej 3, Toksværd, 4684 Holmegaard"
"Tokesvej 5, Toksværd, 4684 Holmegaard"
"Tokesvej 7, Toksværd, 4684 Holmegaard"
"Tokesvej 9, Toksværd, 4684 Holmegaard"
"Troldehøjvej 9, Fensmark, 4684 Holmegaard"
"Gødstrupvej 13A, 4684 Holmegaard"
"Gødstrupvej 13B, 4684 Holmegaard"
"Sølunden 2, Fensmark, 4684 Holmegaard"
"Sølunden 4, Fensmark, 4684 Holmegaard"
"Sølunden 6, Fensmark, 4684 Holmegaard"
"Sølunden 8, Fensmark, 4684 Holmegaard"
"Sølunden 10, Fensmark, 4684 Holmegaard"
"Sølunden 12, Fensmark, 4684 Holmegaard"
"Sølunden 14, Fensmark, 4684 Holmegaard"
"Sølunden 16, Fensmark, 4684 Holmegaard"
"Sølunden 18, Fensmark, 4684 Holmegaard"
"Sølunden 20, Fensmark, 4684 Holmegaard"
"Sølunden 22, Fensmark, 4684 Holmegaard"
"Sølunden 24, Fensmark, 4684 Holmegaard"
"Sølunden 26, Fensmark, 4684 Holmegaard"
"Sølunden 28, Fensmark, 4684 Holmegaard"
"Sølunden 30, Fensmark, 4684 Holmegaard"
"Sølunden 32, Fensmark, 4684 Holmegaard"
"Sølunden 34, Fensmark, 4684 Holmegaard"
"Sølunden 36, Fensmark, 4684 Holmegaard"
"Sølunden 38, Fensmark, 4684 Holmegaard"
"Sølunden 40, Fensmark, 4684 Holmegaard"
"Sølunden 42, Fensmark, 4684 Holmegaard"
"Sølunden 44, Fensmark, 4684 Holmegaard"
"Glasværksvej 26, Fensmark, 4684 Holmegaard"
"Løgparken 52, Holme-Olstrup, 4684 Holmegaard"
"Næstvedvej 34B, Fensmark, 4684 Holmegaard"
"Thyrasvej 7, Toksværd, 4684 Holmegaard"
"Thyrasvej 11, Toksværd, 4684 Holmegaard"
"Thyrasvej 13, Toksværd, 4684 Holmegaard"
"Thyrasvej 17, Toksværd, 4684 Holmegaard"
"Jordbærsvinget 6, Fensmark, 4684 Holmegaard"
"Jordbærsvinget 9, Fensmark, 4684 Holmegaard"
"Gormsvej 4, Toksværd, 4684 Holmegaard"
"Gormsvej 10, Toksværd, 4684 Holmegaard"
"Gormsvej 16, Toksværd, 4684 Holmegaard"
"Holmegaardsvej 75, Holme-Olstrup, 4684 Holmegaard"
"Kalkerupvej 19A, Fensmark, 4684 Holmegaard"
"Kalkerupvej 19B, Fensmark, 4684 Holmegaard"
"Kalkerupvej 19C, Fensmark, 4684 Holmegaard"
"Kalkerupvej 19E, Fensmark, 4684 Holmegaard"
"Kalkerupvej 19F, Fensmark, 4684 Holmegaard"
"Kildealle 2A, Fensmark, 4684 Holmegaard"
"Kildealle 2B, Fensmark, 4684 Holmegaard"
"Kildealle 2C, Fensmark, 4684 Holmegaard"
"Kirkevænget 26, Holme-Olstrup, 4684 Holmegaard"
"Kirkevænget 28, Holme-Olstrup, 4684 Holmegaard"
"Kirkevænget 30, Holme-Olstrup, 4684 Holmegaard"
"Kirkevænget 32, Holme-Olstrup, 4684 Holmegaard"
"Kirkevænget 36, Holme-Olstrup, 4684 Holmegaard"
"Søledsvej 24A, Toksværd, 4684 Holmegaard"
"Thyrasvej 5, Toksværd, 4684 Holmegaard"
"Thyrasvej 9, Toksværd, 4684 Holmegaard"
"Thyrasvej 19, Toksværd, 4684 Holmegaard"
"Thyrasvej 21, Toksværd, 4684 Holmegaard"
"Thyrasvej 23, Toksværd, 4684 Holmegaard"
"Thyrasvej 25, Toksværd, 4684 Holmegaard"
"Thyrasvej 27, Toksværd, 4684 Holmegaard"
"Thyrasvej 33, Toksværd, 4684 Holmegaard"
"Thyrasvej 35, Toksværd, 4684 Holmegaard"
"Thyrasvej 39, Toksværd, 4684 Holmegaard"
"Thyrasvej 41, Toksværd, 4684 Holmegaard"
"Thyrasvej 43, Toksværd, 4684 Holmegaard"
"Stenskovvej 46A, 1., Fensmark, 4684 Holmegaard"
"Stenskovvej 46A, st., Fensmark, 4684 Holmegaard"
"Stenskovvej 46B, Fensmark, 4684 Holmegaard"
"Møllevej 4A, Fensmark, 4684 Holmegaard"
"Møllevej 4B, Fensmark, 4684 Holmegaard"
"Jordbærsvinget 14, Fensmark, 4684 Holmegaard"
"Jordbærsvinget 22, Fensmark, 4684 Holmegaard"
"Stenskovvej 48B, Fensmark, 4684 Holmegaard"
"Løgparken 36, Holme-Olstrup, 4684 Holmegaard"
"Røjlevej 10, Fensmark, 4684 Holmegaard"
"Røjlevej 20, Fensmark, 4684 Holmegaard"
"Røjlevej 30, Fensmark, 4684 Holmegaard"
"Røjlevej 40, Fensmark, 4684 Holmegaard"
"Røjlevej 50, Fensmark, 4684 Holmegaard"
"Røjlevej 60, Fensmark, 4684 Holmegaard"
"Røjlevej 70, Fensmark, 4684 Holmegaard"
"Røjlevej 80, Fensmark, 4684 Holmegaard"
"Røjlevej 90, Fensmark, 4684 Holmegaard"
"Thyrasvej 46, Toksværd, 4684 Holmegaard"
"Gødstrup Bygade 12, 4684 Holmegaard"
"Christiansvej 67, Fensmark, 4684 Holmegaard"
"Dystedvej 45C, 4684 Holmegaard"
"Agernbakken 17, Fensmark, 4684 Holmegaard"
"Agernbakken 24, Fensmark, 4684 Holmegaard"
"Glasmagervej 32, Fensmark, 4684 Holmegaard"
"Jordbærsvinget 13, Fensmark, 4684 Holmegaard"
"Hf. Møllehaven 33, Fensmark, 4684 Holmegaard"
"Kirkevænget 20, Holme-Olstrup, 4684 Holmegaard"
"Landevejen 8A, 4684 Holmegaard"
"Christiansvej 23, Fensmark, 4684 Holmegaard"
"Petersmindevej 118D, Holme-Olstrup, 4684 Holmegaard"
"Hf. Møllehaven 4, Fensmark, 4684 Holmegaard"
"Møllegårdsvej 21B, Holme-Olstrup, 4684 Holmegaard"
"Glasværksvej 26, Fensmark, 4684 Holmegaard"
"Holmegaardsvej 64A, Fensmark, 4684 Holmegaard"
"Hf. Møllehaven 5, Fensmark, 4684 Holmegaard"
"Christiansvej 33, Fensmark, 4684 Holmegaard"
"Kildealle 2, Fensmark, 4684 Holmegaard"
"Hf. Møllehaven 7, Fensmark, 4684 Holmegaard"
"Hf. Møllehaven 43, Fensmark, 4684 Holmegaard"
"Hindbærsvinget 27, Fensmark, 4684 Holmegaard"
"Glasværksvej 45, Fensmark, 4684 Holmegaard"
"Næstvedvej 10, Fensmark, 4684 Holmegaard"
"Glasmagervej 38B, st., Fensmark, 4684 Holmegaard"
"Blåbærsvinget 12, Fensmark, 4684 Holmegaard"
"Glasmagervej 34, Fensmark, 4684 Holmegaard"
"Sørup Skovvej 1N, 4684 Holmegaard"
"Hf. Møllehaven 3, Fensmark, 4684 Holmegaard"
"Næstvedvej 50G, Fensmark, 4684 Holmegaard"
"Christiansvej 16, Fensmark, 4684 Holmegaard"
"Rødebrovej 2, st. th, 4684 Holmegaard"
"Glasmagervej 42, Fensmark, 4684 Holmegaard"
"Dystedvej 1, Toksværd, 4684 Holmegaard"
"Dystedvej 3A, Toksværd, 4684 Holmegaard"
"Dystedvej 3B, Toksværd, 4684 Holmegaard"
"Glasværksvej 50, 1., Fensmark, 4684 Holmegaard"
"Hf. Møllehaven 11, Fensmark, 4684 Holmegaard"
"Glasmagervej 38C, 1., Fensmark, 4684 Holmegaard"
"Christiansvej 65, Fensmark, 4684 Holmegaard"
"Lundebakkevej 10, Toksværd, 4684 Holmegaard"
"Christiansvej 59, Fensmark, 4684 Holmegaard"
"Hindbærsvinget 6, Fensmark, 4684 Holmegaard"
"Glasmagervej 38A, st., Fensmark, 4684 Holmegaard"
"Agernbakken 16, Fensmark, 4684 Holmegaard"
"Hyacintvej 20, Holme-Olstrup, 4684 Holmegaard"
"Glasværksvej 44, st., Fensmark, 4684 Holmegaard"
"Hyacintvej 4A, Holme-Olstrup, 4684 Holmegaard"
"Kirkevænget 2P, Holme-Olstrup, 4684 Holmegaard"
"Hindbærsvinget 4, Fensmark, 4684 Holmegaard"
"Hf. Møllehaven 15, Fensmark, 4684 Holmegaard"
"Agernbakken 9, Fensmark, 4684 Holmegaard"
"Bakkevej 12B, Fensmark, 4684 Holmegaard"
"Christiansvej 43, Fensmark, 4684 Holmegaard"
"Morbærvænget 26, 8, Fensmark, 4684 Holmegaard"
"Møllevej 2A, Fensmark, 4684 Holmegaard"
"Agernbakken 19, Fensmark, 4684 Holmegaard"
"Stationsvej 21A, Holme-Olstrup, 4684 Holmegaard"
"Glasværksvej 53, Fensmark, 4684 Holmegaard"
"Hf. Møllehaven 17, Fensmark, 4684 Holmegaard"
"Elmevej 10, 1., Fensmark, 4684 Holmegaard"
"Christiansvej 47, Fensmark, 4684 Holmegaard"
"Dystedvej 36A, 4684 Holmegaard"
"Glasværksvej 58, Fensmark, 4684 Holmegaard"
"Christiansvej 1, Fensmark, 4684 Holmegaard"
"Gormsvej 3, Toksværd, 4684 Holmegaard"
"Agernbakken 13, Fensmark, 4684 Holmegaard"
"Holmegaardsvej 7A, Fensmark, 4684 Holmegaard"
"Christiansvej 83, Fensmark, 4684 Holmegaard"
"Løgparken 30, Holme-Olstrup, 4684 Holmegaard"
"Holmegaardsvej 1A, Fensmark, 4684 Holmegaard"
"Sibberupvej 15, Fensmark, 4684 Holmegaard"
"Ravnstrupvej 8D, 4684 Holmegaard"
"Holmegaardsvej 70, st., Fensmark, 4684 Holmegaard"
"Næstvedvej 34A, Fensmark, 4684 Holmegaard"
"Møllegårdsvej 21, Holme-Olstrup, 4684 Holmegaard"
"Gartnervej 2, st., Holme-Olstrup, 4684 Holmegaard"
"Hindbærsvinget 3, Fensmark, 4684 Holmegaard"
"Stenskovvej 35, Fensmark, 4684 Holmegaard"
"Gl Skolevej 2C, 4684 Holmegaard"
"Engvej 2, Fensmark, 4684 Holmegaard"
"Hf. Møllehaven 51, Fensmark, 4684 Holmegaard"
"Hf. Møllehaven 22, Fensmark, 4684 Holmegaard"
"Jordbærsvinget 19, Fensmark, 4684 Holmegaard"
"Glasværksvej 44, 1., Fensmark, 4684 Holmegaard"
"Christiansvej 51, Fensmark, 4684 Holmegaard"
"Nr Tvedevej 34A, 4684 Holmegaard"
"Rødebrovej 2, 4684 Holmegaard"
"Nr Tvedevej 19, 4684 Holmegaard"
"Hindbærsvinget 17, Fensmark, 4684 Holmegaard"
"Hf. Møllehaven 31, Fensmark, 4684 Holmegaard"
"Chr Winthersvej 7A, Fensmark, 4684 Holmegaard"
"Hf. Møllehaven 26, Fensmark, 4684 Holmegaard"
"Ravnstrupvej 6A, 4684 Holmegaard"
"Agernbakken 6, Fensmark, 4684 Holmegaard"
"Morbærvænget 1A, Fensmark, 4684 Holmegaard"
"Hf. Møllehaven 41, Fensmark, 4684 Holmegaard"
"Glasværksvej 54, Fensmark, 4684 Holmegaard"
"Glasmagervej 20B, Fensmark, 4684 Holmegaard"
"Glasmagervej 9, Fensmark, 4684 Holmegaard"
"Næstvedvej 20B, Fensmark, 4684 Holmegaard"
"Stationsvej 79, Holme-Olstrup, 4684 Holmegaard"
"Glasmagervej 37, Fensmark, 4684 Holmegaard"
"Hindbærsvinget 15, Fensmark, 4684 Holmegaard"
"Ravnstrupvej 26A, 4684 Holmegaard"
"Hf. Møllehaven 49, Fensmark, 4684 Holmegaard"
"Agernbakken 11, Fensmark, 4684 Holmegaard"
"Landevejen 11, 4684 Holmegaard"
"Klokkergårdsvej 10, Toksværd, 4684 Holmegaard"
"Sørup Skovvej 1M, 4684 Holmegaard"
"Glasmagervej 15, Fensmark, 4684 Holmegaard"
"Christiansvej 81, Fensmark, 4684 Holmegaard"
"Christiansvej 24, Fensmark, 4684 Holmegaard"
"Christiansvej 63, Fensmark, 4684 Holmegaard"
"Hf. Møllehaven 8, Fensmark, 4684 Holmegaard"
"Christiansvej 39, Fensmark, 4684 Holmegaard"
"Dystedvej 44B, 4684 Holmegaard"
"Glasværksvej 1, Fensmark, 4684 Holmegaard"
"Hesselvej 8, Toksværd, 4684 Holmegaard"
"Agernbakken 4, Fensmark, 4684 Holmegaard"
"Gartnervej 40, 4684 Holmegaard"
"Glasmagervej 36B, Fensmark, 4684 Holmegaard"
"Næstvedvej 50H, Fensmark, 4684 Holmegaard"
"Kildegårdsvej 35, st., Fensmark, 4684 Holmegaard"
"Holmegaardsvej 32, Fensmark, 4684 Holmegaard"
"Lundebakkevej 4B, Toksværd, 4684 Holmegaard"
"Agernbakken 31, Fensmark, 4684 Holmegaard"
"Rødebrovej 2, st. tv, 4684 Holmegaard"
"Agernbakken 15, Fensmark, 4684 Holmegaard"
"Agernbakken 30, Fensmark, 4684 Holmegaard"
"Elmevej 12, Fensmark, 4684 Holmegaard"
"Landevejen 40B, 4684 Holmegaard"
"Christiansvej 18, Fensmark, 4684 Holmegaard"
"Møllevej 2F, Fensmark, 4684 Holmegaard"
"Glasmagervej 16, Fensmark, 4684 Holmegaard"
"Solbakkevej 19, Toksværd, 4684 Holmegaard"
"Christiansvej 55, Fensmark, 4684 Holmegaard"
"Østerled 3, Fensmark, 4684 Holmegaard"
"Christiansvej 41, Fensmark, 4684 Holmegaard"
"Jordbærsvinget 1, Fensmark, 4684 Holmegaard"
"Agernbakken 27, Fensmark, 4684 Holmegaard"
"Christiansvej 14, Fensmark, 4684 Holmegaard"
"Agernbakken 21, Fensmark, 4684 Holmegaard"
"Blåbærsvinget 23, Fensmark, 4684 Holmegaard"
"Holmegaardsvej 90B, Holme-Olstrup, 4684 Holmegaard"
"Østerbro 2, 4684 Holmegaard"
"Klokkergårdsvej 8, Toksværd, 4684 Holmegaard"
"Hindbærsvinget 29, Fensmark, 4684 Holmegaard"
"Toksværd Bygade 18, Toksværd, 4684 Holmegaard"
"Glasværksvej 49, Fensmark, 4684 Holmegaard"
"Holmegaardsvej 86C, Fensmark, 4684 Holmegaard"
"Hf. Møllehaven 16, Fensmark, 4684 Holmegaard"
"Ravnsbjergvej 1C, 4684 Holmegaard"
"Gartnervej 2, 1., Holme-Olstrup, 4684 Holmegaard"
"Lundebakkevej 1M, Toksværd, 4684 Holmegaard"
"Akaciehaven 38, Fensmark, 4684 Holmegaard"
"Glasværksvej 6B, Fensmark, 4684 Holmegaard"
"Christiansvej 77, Fensmark, 4684 Holmegaard"
"Ringerbakken 9, Holme-Olstrup, 4684 Holmegaard"
"Skovvej 1A, Holme-Olstrup, 4684 Holmegaard"
"Gl Skolevej 5, 4684 Holmegaard"
"Christiansvej 31, Fensmark, 4684 Holmegaard"
"Hf. Møllehaven 23, Fensmark, 4684 Holmegaard"
"Holmegaardsvej 86D, Fensmark, 4684 Holmegaard"
"Elmevej 5, Fensmark, 4684 Holmegaard"
"Nr Tvedevej 27, 4684 Holmegaard"
"Landevejen 14, Holme-Olstrup, 4684 Holmegaard"
"Glasværksvej 48, 1., Fensmark, 4684 Holmegaard"
"Christiansvej 20, Fensmark, 4684 Holmegaard"
"Agernbakken 10, Fensmark, 4684 Holmegaard"
"Stationsvej 43A, Holme-Olstrup, 4684 Holmegaard"
"Lundebakkevej 6A, Toksværd, 4684 Holmegaard"
"Kirkevænget 11B, Holme-Olstrup, 4684 Holmegaard"
"Glasværksvej 43, Fensmark, 4684 Holmegaard"
"Kirkevænget 11A, Holme-Olstrup, 4684 Holmegaard"
"Christiansvej 19, Fensmark, 4684 Holmegaard"
"Glasmagervej 39, Fensmark, 4684 Holmegaard"
"Fensmark Skov 2A, Fensmark, 4684 Holmegaard"
"Hf. Møllehaven 13, Fensmark, 4684 Holmegaard"
"Klokkergårdsvej 16, Toksværd, 4684 Holmegaard"
"Søledsvej 27, Toksværd, 4684 Holmegaard"
"Løgparken 28, Holme-Olstrup, 4684 Holmegaard"
"Agernbakken 7, Fensmark, 4684 Holmegaard"
"Agernbakken 3, Fensmark, 4684 Holmegaard"
"Glasværksvej 55, st., Fensmark, 4684 Holmegaard"
"Glasværksvej 3, Fensmark, 4684 Holmegaard"
"Gødstrupvej 7, 4684 Holmegaard"
"Glasmagervej 23, Fensmark, 4684 Holmegaard"
"Christiansvej 53, Fensmark, 4684 Holmegaard"
"Hf. Møllehaven 9, Fensmark, 4684 Holmegaard"
"Ahornvej 1, 1., Fensmark, 4684 Holmegaard"
"Christiansvej 69, Fensmark, 4684 Holmegaard"
"Holmegaardsvej 68, Fensmark, 4684 Holmegaard"
"Holmegaardsvej 70C, Fensmark, 4684 Holmegaard"
"Hf. Møllehaven 35, Fensmark, 4684 Holmegaard"
"Holmegaardsvej 5B, Fensmark, 4684 Holmegaard"
"Ahornvej 1, st., Fensmark, 4684 Holmegaard"
"Nr Tvedevej 9A, 4684 Holmegaard"
"Kirkevænget 15, Holme-Olstrup, 4684 Holmegaard"
"Morbærvænget 1X, Fensmark, 4684 Holmegaard"
"Christiansvej 45, Fensmark, 4684 Holmegaard"
"Hf. Møllehaven 20, Fensmark, 4684 Holmegaard"
"Jordbærsvinget 11, Fensmark, 4684 Holmegaard"
"Vibevej 2A, Fensmark, 4684 Holmegaard"
"Agernbakken 14, Fensmark, 4684 Holmegaard"
"Fensmark Skov 6C, Fensmark, 4684 Holmegaard"
"Hf. Møllehaven 45, Fensmark, 4684 Holmegaard"
"Morbærvænget 26, 1111, Fensmark, 4684 Holmegaard"
"Hf. Møllehaven 21, Fensmark, 4684 Holmegaard"
"Agernbakken 1, Fensmark, 4684 Holmegaard"
"Møllegårdsvej 9, Holme-Olstrup, 4684 Holmegaard"
"Hf. Møllehaven 27, Fensmark, 4684 Holmegaard"
"Ravnstrupvej 17, 4684 Holmegaard"
"Hindbærsvinget 9, Fensmark, 4684 Holmegaard"
"Stationsvej 48A, Holme-Olstrup, 4684 Holmegaard"
"Hf. Møllehaven 14, Fensmark, 4684 Holmegaard"
"Næstvedvej 13, Fensmark, 4684 Holmegaard"
"Kalkerupvej 9, Fensmark, 4684 Holmegaard"
"Glasværksvej 56, Fensmark, 4684 Holmegaard"
"Hf. Møllehaven 30, Fensmark, 4684 Holmegaard"
"Kirkevænget 2N, Holme-Olstrup, 4684 Holmegaard"
"Ringerbakken 3, Holme-Olstrup, 4684 Holmegaard"
"Kildegårdsvej 35, 1., Fensmark, 4684 Holmegaard"
"Christiansvej 75, Fensmark, 4684 Holmegaard"
"Christiansvej 61, Fensmark, 4684 Holmegaard"
"Glasværksvej 64, Fensmark, 4684 Holmegaard"
"Østerbro 1, 4684 Holmegaard"
"Glasværksvej 51, Fensmark, 4684 Holmegaard"
"Kalkerupvej 2A, Fensmark, 4684 Holmegaard"
"Hf. Møllehaven 10, Fensmark, 4684 Holmegaard"
"Glasmagervej 10, Fensmark, 4684 Holmegaard"
"Brombærsvinget 9, Fensmark, 4684 Holmegaard"
"Mosen 6, 4684 Holmegaard"
"Kirkevænget 2R, Holme-Olstrup, 4684 Holmegaard"
"Østerbro 10, 4684 Holmegaard"
"Ravnsbjergvej 1A, 4684 Holmegaard"
"Holmegaardsvej 56, Fensmark, 4684 Holmegaard"
"Petersmindevej 120, Holme-Olstrup, 4684 Holmegaard"
"Villavej 2, Fensmark, 4684 Holmegaard"
"Ellegårdsvej 6, Fensmark, 4684 Holmegaard"
"Agernbakken 5, Fensmark, 4684 Holmegaard"
"Stoksbjergvej 34, 4684 Holmegaard"
"Liljevej 35, Holme-Olstrup, 4684 Holmegaard"
"Hindbærsvinget 19, Fensmark, 4684 Holmegaard"
"Petersmindevej 118E, Holme-Olstrup, 4684 Holmegaard"
"Christiansvej 27, Fensmark, 4684 Holmegaard"
"Søledsvej 8A, Toksværd, 4684 Holmegaard"
"Glasværksvej 42, st., Fensmark, 4684 Holmegaard"
"Fensmark Skov 1A, Fensmark, 4684 Holmegaard"
"Gartnervej 19, Holme-Olstrup, 4684 Holmegaard"
"Christiansvej 25, Fensmark, 4684 Holmegaard"
"Gambakkevej 9A, 4684 Holmegaard"
"Agernbakken 22, Fensmark, 4684 Holmegaard"
"Holmegaardsvej 70B, Fensmark, 4684 Holmegaard"
"Ravnsbjergvej 1B, 4684 Holmegaard"
"Sørupvej 20A, 4684 Holmegaard"
"Gambakkevej 9B, 4684 Holmegaard"
"Glasværksvej 52, st., Fensmark, 4684 Holmegaard"
"Brombærsvinget 16, Fensmark, 4684 Holmegaard"
"Holmegaardsvej 70A, Fensmark, 4684 Holmegaard"
"Kirkevænget 2B, Holme-Olstrup, 4684 Holmegaard"
"Bakkevej 13, Fensmark, 4684 Holmegaard"
"Østerled 133, Fensmark, 4684 Holmegaard"
"Stenskovvej 20, Fensmark, 4684 Holmegaard"
"Christiansvej 17, Fensmark, 4684 Holmegaard"
"Christiansvej 21, Fensmark, 4684 Holmegaard"
"Thyrasvej 68, Toksværd, 4684 Holmegaard"
"Nr Tvedevej 26A, 4684 Holmegaard"
"Glasværksvej 26, Fensmark, 4684 Holmegaard"
"Ringerbakken 2, Holme-Olstrup, 4684 Holmegaard"
"Glasværksvej 52, 1., Fensmark, 4684 Holmegaard"
"Sørup Skovvej 1, 4684 Holmegaard"
"Agernbakken 28, Fensmark, 4684 Holmegaard"
"Hindbærsvinget 31, Fensmark, 4684 Holmegaard"
"Møllegårdsvej 21A, Holme-Olstrup, 4684 Holmegaard"
"Glasværksvej 46, 1., Fensmark, 4684 Holmegaard"
"Hf. Møllehaven 29, Fensmark, 4684 Holmegaard"
"Hf. Møllehaven 37, Fensmark, 4684 Holmegaard"
"Glasværksvej 68, Fensmark, 4684 Holmegaard"
"Møllevej 3M, Fensmark, 4684 Holmegaard"
"Gartnervej 16, Holme-Olstrup, 4684 Holmegaard"
"Blåbærsvinget 15, Fensmark, 4684 Holmegaard"
"Christiansvej 49, Fensmark, 4684 Holmegaard"
"Landevejen 63B, 4684 Holmegaard"
"Bygmarken 5, Fensmark, 4684 Holmegaard"
"Tjørnevej 42, Fensmark, 4684 Holmegaard"
"Elmevej 6, Fensmark, 4684 Holmegaard"
"Glasværksvej 46, Fensmark, 4684 Holmegaard"
"Næstvedvej 11A, Fensmark, 4684 Holmegaard"
"Glasmagervej 38A, 1., Fensmark, 4684 Holmegaard"
"Glasmagervej 38B, 1., Fensmark, 4684 Holmegaard"
"Nr Tvedevej 29, 4684 Holmegaard"
"Rødebrovej 9B, 4684 Holmegaard"
"Holmegaardsvej 54, Fensmark, 4684 Holmegaard"
"Møllevej 2C, Fensmark, 4684 Holmegaard"
"Glasværksvej 46, st., Fensmark, 4684 Holmegaard"
"Christiansvej 57, Fensmark, 4684 Holmegaard"
"Agernbakken 29, Fensmark, 4684 Holmegaard"
"Hf. Møllehaven 47, Fensmark, 4684 Holmegaard"
"Kildegårdsvej 35M, Fensmark, 4684 Holmegaard"
"Thyrasvej 50A, Toksværd, 4684 Holmegaard"
"Christiansvej 15, Fensmark, 4684 Holmegaard"
"Elmevej 8B, Fensmark, 4684 Holmegaard"
"Christiansvej 37, Fensmark, 4684 Holmegaard"
