"Sølvgade 105, 5. tv, 1307 København K"
"Georg Brandes Plads 6, 2. 213, 1307 København K"
"Georg Brandes Plads 4, 4. 420, 1307 København K"
"Georg Brandes Plads 14, st. 65, 1307 København K"
"Georg Brandes Plads 8, 4. 12, 1307 København K"
"Georg Brandes Plads 12, st. 76, 1307 København K"
"Georg Brandes Plads 4, 3. 346, 1307 København K"
"Georg Brandes Plads 12, 2. 61, 1307 København K"
"Sølvgade 38F, 1., 1307 København K"
"Georg Brandes Plads 6, st. 14, 1307 København K"
"Georg Brandes Plads 12, 2. 55, 1307 København K"
"Sølvgade 92A, st., 1307 København K"
"Georg Brandes Plads 4, 4. 437, 1307 København K"
"Sølvgade 40C, 1307 København K"
"Georg Brandes Plads 6, 4. 452, 1307 København K"
"Georg Brandes Plads 4, 4. 414, 1307 København K"
"Sølvgade 40E, 1307 København K"
"Georg Brandes Plads 12, 3. 59, 1307 København K"
"Georg Brandes Plads 14, 3. 94, 1307 København K"
"Georg Brandes Plads 10, 3. 46, 1307 København K"
"Georg Brandes Plads 14, 4. 82, 1307 København K"
"Sølvgade 48, st., 1307 København K"
"Georg Brandes Plads 8, st. 12, 1307 København K"
"Georg Brandes Plads 4, 4. 446, 1307 København K"
"Georg Brandes Plads 12, 2. 45, 1307 København K"
"Georg Brandes Plads 6, 3. 308, 1307 København K"
"Georg Brandes Plads 4, 4. 411, 1307 København K"
"Georg Brandes Plads 12, 1. 70, 1307 København K"
"Georg Brandes Plads 4, st. 21, 1307 København K"
"Georg Brandes Plads 12, 2. 72, 1307 København K"
"Georg Brandes Plads 4, st. 50, 1307 København K"
"Sølvgade 36, 1307 København K"
"Georg Brandes Plads 4, 3. 314, 1307 København K"
"Georg Brandes Plads 6, st. 38, 1307 København K"
"Georg Brandes Plads 10, 4. 33, 1307 København K"
"Georg Brandes Plads 6, 4. 8, 1307 København K"
"Georg Brandes Plads 6, st. 36, 1307 København K"
"Georg Brandes Plads 8, 1. 14, 1307 København K"
"Georg Brandes Plads 4, 1. 138, 1307 København K"
"Sølvgade 20, kl. th, 1307 København K"
"Georg Brandes Plads 14, 2. 73, 1307 København K"
"Sølvgade 2, 1307 København K"
"Georg Brandes Plads 6, 3. 346, 1307 København K"
"Georg Brandes Plads 10, 1. 41, 1307 København K"
"Georg Brandes Plads 6, 2. 210, 1307 København K"
"Sølvgade 40D, 3., 1307 København K"
"Georg Brandes Plads 6, 2. 8, 1307 København K"
"Georg Brandes Plads 6, st. 30, 1307 København K"
"Georg Brandes Plads 16, 2. 110, 1307 København K"
"Georg Brandes Plads 6, 1. 150, 1307 København K"
"Georg Brandes Plads 12, 4. 57, 1307 København K"
"Sølvgade 38, 2. tv, 1307 København K"
"Georg Brandes Plads 10, 4. 43, 1307 København K"
"Georg Brandes Plads 12, 1. 78, 1307 København K"
"Georg Brandes Plads 4, st. 48, 1307 København K"
"Georg Brandes Plads 4, st. 4, 1307 København K"
"Georg Brandes Plads 8, 2. 25, 1307 København K"
"Georg Brandes Plads 4, 3. 344, 1307 København K"
"Georg Brandes Plads 4, 4. 419, 1307 København K"
"Georg Brandes Plads 4, st. 32, 1307 København K"
"Georg Brandes Plads 4, 2. 224, 1307 København K"
"Georg Brandes Plads 4, st. 6, 1307 København K"
"Georg Brandes Plads 6, 3. 336, 1307 København K"
"Georg Brandes Plads 4, 4. 401, 1307 København K"
"Georg Brandes Plads 4, 2. 212, 1307 København K"
"Sølvgade 14A, kl. th, 1307 København K"
"Georg Brandes Plads 10, 2. 32, 1307 København K"
"Georg Brandes Plads 4, 4. 425, 1307 København K"
"Georg Brandes Plads 4, 3. 317, 1307 København K"
"Georg Brandes Plads 12, st. 47, 1307 København K"
"Georg Brandes Plads 12, 4. 60, 1307 København K"
"Sølvgade 22, 1307 København K"
"Sølvgade 40A, 4., 1307 København K"
"Sølvgade 38E, 1307 København K"
"Georg Brandes Plads 12, st. 53, 1307 København K"
"Georg Brandes Plads 6, st. 15, 1307 København K"
"Georg Brandes Plads 10, 2. 39, 1307 København K"
"Georg Brandes Plads 6, st. 6, 1307 København K"
"Georg Brandes Plads 6, 4. 4, 1307 København K"
"Georg Brandes Plads 10, st. 37, 1307 København K"
"Georg Brandes Plads 4, 2. 229, 1307 København K"
"Georg Brandes Plads 6, st. 20, 1307 København K"
"Georg Brandes Plads 6, st. 52, 1307 København K"
"Georg Brandes Plads 10, 3. 34, 1307 København K"
"Georg Brandes Plads 12, 3. 62, 1307 København K"
"Georg Brandes Plads 14, 4. 92, 1307 København K"
"Georg Brandes Plads 6, st. 1, 1307 København K"
"Georg Brandes Plads 14, st. 90, 1307 København K"
"Sølvgade 83T, 1., 1307 København K"
"Georg Brandes Plads 10, 4. 48, 1307 København K"
"Georg Brandes Plads 12, 4. 47, 1307 København K"
"Georg Brandes Plads 12, 4. 58, 1307 København K"
"Georg Brandes Plads 4, 2. 205, 1307 København K"
"Georg Brandes Plads 6, 1. 106, 1307 København K"
"Georg Brandes Plads 12, st. 58, 1307 København K"
"Georg Brandes Plads 6, 4. 411, 1307 København K"
"Georg Brandes Plads 4, 1. 112, 1307 København K"
"Georg Brandes Plads 14, 2. 94, 1307 København K"
"Georg Brandes Plads 10, st. 41, 1307 København K"
"Georg Brandes Plads 10, st. 35, 1307 København K"
"Georg Brandes Plads 6, st. 30, 1307 København K"
"Georg Brandes Plads 8, 2. 18, 1307 København K"
"Georg Brandes Plads 14, 3. 65, 1307 København K"
"Georg Brandes Plads 12, st. 61, 1307 København K"
"Georg Brandes Plads 4, 1. 110, 1307 København K"
"Georg Brandes Plads 12, 1. 59, 1307 København K"
"Georg Brandes Plads 6, st. 18, 1307 København K"
"Sølvgade 10, 5., 1307 København K"
"Georg Brandes Plads 4, 4. 404, 1307 København K"
"Georg Brandes Plads 4, st. 21, 1307 København K"
"Sølvgade 38B, 1., 1307 København K"
"Georg Brandes Plads 6, st. 22, 1307 København K"
"Sølvgade 38F, 1. th, 1307 København K"
"Georg Brandes Plads 4, 2. 232, 1307 København K"
"Georg Brandes Plads 4, st. 1, 1307 København K"
"Georg Brandes Plads 8, 4. 22, 1307 København K"
"Georg Brandes Plads 10, 4. 52, 1307 København K"
"Georg Brandes Plads 4, st. 12, 1307 København K"
"Georg Brandes Plads 6, 3. 335, 1307 København K"
"Georg Brandes Plads 6, 1. 129, 1307 København K"
"Georg Brandes Plads 6, st. 12, 1307 København K"
"Georg Brandes Plads 12, 3. 70, 1307 København K"
"Georg Brandes Plads 10, 4. 42, 1307 København K"
"Georg Brandes Plads 12, 2. 58, 1307 København K"
"Georg Brandes Plads 10, 1. 34, 1307 København K"
"Georg Brandes Plads 4, st. 35, 1307 København K"
"Georg Brandes Plads 4, 4. 405, 1307 København K"
"Georg Brandes Plads 12, 2. 74, 1307 København K"
"Georg Brandes Plads 4, st. 7, 1307 København K"
"Georg Brandes Plads 16, 3. 81, 1307 København K"
"Georg Brandes Plads 10, 4. 39, 1307 København K"
"Georg Brandes Plads 6, st. 44, 1307 København K"
"Georg Brandes Plads 16, 2. 81, 1307 København K"
"Georg Brandes Plads 10, 2. 52, 1307 København K"
"Georg Brandes Plads 4, 3. 323, 1307 København K"
"Georg Brandes Plads 8, 1. 24, 1307 København K"
"Georg Brandes Plads 4, 1. 134, 1307 København K"
"Georg Brandes Plads 14, 2. 88, 1307 København K"
"Sølvgade 48, 1307 København K"
"Georg Brandes Plads 14, 1. 86, 1307 København K"
"Georg Brandes Plads 6, 4. 422, 1307 København K"
"Georg Brandes Plads 8, 4. 14, 1307 København K"
"Georg Brandes Plads 6, st. 5, 1307 København K"
"Georg Brandes Plads 6, 4. 427, 1307 København K"
"Georg Brandes Plads 4, st. 14, 1307 København K"
"Georg Brandes Plads 14, 4. 67, 1307 København K"
"Georg Brandes Plads 6, st. 8, 1307 København K"
"Georg Brandes Plads 10, 3. 36, 1307 København K"
"Georg Brandes Plads 4, 3. 339, 1307 København K"
"Sølvgade 40D, 4., 1307 København K"
"Georg Brandes Plads 6, 3. 327, 1307 København K"
"Georg Brandes Plads 6, st. 32, 1307 København K"
"Georg Brandes Plads 6, 3. 312, 1307 København K"
"Georg Brandes Plads 14, 1. 67, 1307 København K"
"Georg Brandes Plads 6, 4. 425, 1307 København K"
"Sølvgade 38F, st. th, 1307 København K"
"Georg Brandes Plads 4, st. 32, 1307 København K"
"Sølvgade 26, st. 1, 1307 København K"
"Sølvgade 105, kl. tv, 1307 København K"
"Sølvgade 6B, 3. th, 1307 København K"
"Sølvgade 6B, 5. tv, 1307 København K"
"Sølvgade 13, 2. th, 1307 København K"
"Sølvgade 93, 3. tv, 1307 København K"
"Sølvgade 4, 4. tv, 1307 København K"
"Georg Brandes Plads 14, 3. 71, 1307 København K"
"Georg Brandes Plads 10, 3. 29, 1307 København K"
"Georg Brandes Plads 6, 3. 350, 1307 København K"
"Georg Brandes Plads 12, 4. 74, 1307 København K"
"Georg Brandes Plads 8, st. 23, 1307 København K"
"Georg Brandes Plads 6, 4. 406, 1307 København K"
"Georg Brandes Plads 10, st. 39, 1307 København K"
"Georg Brandes Plads 12, st. 64, 1307 København K"
"Georg Brandes Plads 4, 2. 244, 1307 København K"
"Georg Brandes Plads 12, 1. 64, 1307 København K"
"Georg Brandes Plads 8, 3. 7, 1307 København K"
"Georg Brandes Plads 6, 4. 402, 1307 København K"
"Georg Brandes Plads 4, 2. 201, 1307 København K"
"Georg Brandes Plads 6, 2. 208, 1307 København K"
"Georg Brandes Plads 6, st. 21, 1307 København K"
"Georg Brandes Plads 4, 2. 226, 1307 København K"
"Georg Brandes Plads 8, 3. 17, 1307 København K"
"Georg Brandes Plads 12, 3. 64, 1307 København K"
"Georg Brandes Plads 4, st. 9, 1307 København K"
"Georg Brandes Plads 16, 1. 108, 1307 København K"
"Georg Brandes Plads 12, 4. 55, 1307 København K"
"Sølvgade 5, kl., 1307 København K"
"Sølvgade 14B, st., 1307 København K"
"Sølvgade 14, st., 1307 København K"
"Sølvgade 36B, 1307 København K"
"Sølvgade 36, st., 1307 København K"
"Sølvgade 36, 1., 1307 København K"
"Sølvgade 96, 5. tv, 1307 København K"
"Sølvgade 96B, 1307 København K"
"Sølvgade 96, 5., 1307 København K"
"Sølvgade 96, 5. th, 1307 København K"
"Sølvgade 14A, kl. 1, 1307 København K"
"Sølvgade 14B, kl. 2, 1307 København K"
"Sølvgade 14B, kl. 1, 1307 København K"
"Sølvgade 96C, 1307 København K"
"Sølvgade 96, 5. tv, 1307 København K"
"Sølvgade 30, 5., 1307 København K"
"Sølvgade 30, 5. th, 1307 København K"
"Sølvgade 30, 5. tv, 1307 København K"
"Sølvgade 32C, kl., 1307 København K"
"Sølvgade 32, 1., 1307 København K"
