"Halvej 13, 9830 Tårs"
"Søparken 14A, 9830 Tårs"
"Søparken 12B, 9830 Tårs"
"Søparken 12A, 9830 Tårs"
"Søparken 11, 9830 Tårs"
"Søparken 9, 9830 Tårs"
"Søparken 10B, 9830 Tårs"
"Søparken 10A, 9830 Tårs"
"Søparken 7, 9830 Tårs"
"Søparken 5, 9830 Tårs"
"Søparken 3, 9830 Tårs"
"Søparken 1, 9830 Tårs"
"Søparken 13, 9830 Tårs"
"Gammel Damhusvej 3A, 9830 Tårs"
"Gammel Damhusvej 3B, 9830 Tårs"
"Gilsigvej 135, 9830 Tårs"
"Sønder Romvej 120, 9830 Tårs"
"Sønder Graumvej 61, 9830 Tårs"
"Sønder Graumvej 34, 9830 Tårs"
"Græsdalvej 45, 9830 Tårs"
"Græsdalvej 69, 9830 Tårs"
"Guldregnvej 6A, 9830 Tårs"
"Guldregnvej 6B, 9830 Tårs"
"Agdrupvej 24, 9830 Tårs"
"Bredgade 134C, st., 9830 Tårs"
"Bredgade 40, 1., 9830 Tårs"
"Bredgade 64A, 9830 Tårs"
"Bredgade 64A, 1., 9830 Tårs"
"Hjabelundvej 49, 9830 Tårs"
"Nybovej 1A, 9830 Tårs"
"Nybovej 1B, 9830 Tårs"
"Nybovej 3A, 9830 Tårs"
"Nybovej 3B, 9830 Tårs"
"Nybovej 5B, 9830 Tårs"
"Nybovej 5C, 9830 Tårs"
"Nybovej 1D, 9830 Tårs"
"Nybovej 3C, 9830 Tårs"
"Nybovej 5, 9830 Tårs"
"Nybovej 5D, 9830 Tårs"
"Nybovej 7A, 9830 Tårs"
"Nybovej 7C, 9830 Tårs"
"Nybovej 7D, 9830 Tårs"
"Nygade 7, 9830 Tårs"
"Plumbjergvej 55, Morild, 9830 Tårs"
"Gadekæret 21, 9830 Tårs"
"Melbækvej 204, 9830 Tårs"
"Postholdervej 1A, 9830 Tårs"
"Postholdervej 1B, 9830 Tårs"
"Postholdervej 1C, 9830 Tårs"
"Postholdervej 3B, st., 9830 Tårs"
"Postholdervej 3B, 1., 9830 Tårs"
"Postholdervej 12D, 9830 Tårs"
"Postholdervej 12C, 9830 Tårs"
"Postholdervej 12B, 9830 Tårs"
"Postholdervej 12A, 9830 Tårs"
"Postholdervej 24, 9830 Tårs"
"Postholdervej 29, 9830 Tårs"
"Postholdervej 35, 9830 Tårs"
"Rattisoddevej 10, Sæsing, 9830 Tårs"
"Svenstrupvej 463, 9830 Tårs"
"Præstebakken 16B, 9830 Tårs"
"Koldbrovej 176, 9830 Tårs"
"Koldbromøllevej 42, 9830 Tårs"
"Sæbyvej 821L, 9830 Tårs"
"Sæbyvej 821A, 9830 Tårs"
"Sæbyvej 821B, 9830 Tårs"
"Sæbyvej 821F, 9830 Tårs"
"Sæbyvej 821H, 9830 Tårs"
"Sæbyvej 821K, 9830 Tårs"
"Sørupvej 311B, 9830 Tårs"
"Sørupvej 311D, 9830 Tårs"
"Skæggesholtvej 110C, 9830 Tårs"
"Sæbyvej 821E, 9830 Tårs"
"Sørupvej 311E, 9830 Tårs"
"Sørupvej 311F, 9830 Tårs"
"Trangetvej 161, 9830 Tårs"
"Bollervej 7A, 9830 Tårs"
"Bredgade 78, 9830 Tårs"
"Bredgade 84, 9830 Tårs"
"Brogårdsvej 121, Sæsing, 9830 Tårs"
"Sørupvej 311G, 9830 Tårs"
"Bredgade 2, 9830 Tårs"
"Stensskovvej 25, Tranget, 9830 Tårs"
"Stensskovvej 61, Tranget, 9830 Tårs"
"Sæby Landevej 417A, 9830 Tårs"
"Sørupvej 311C, 9830 Tårs"
"Nordbakken 2, 9830 Tårs"
"Bredgade 47C, 9830 Tårs"
"Volsholtvej 75, 9830 Tårs"
"Bredgade 47A, 9830 Tårs"
"Klarupvej 233, Morild, 9830 Tårs"
"Morildvej 175, 9830 Tårs"
"Bredgade 47E, 9830 Tårs"
"Søparken 10, 9830 Tårs"
"Bettevej 8, 9830 Tårs"
"Gammel Damhusvej 6, 9830 Tårs"
"Horsevadvej 112, 9830 Tårs"
"Bredgade 147, 9830 Tårs"
"Bredgade 164, 9830 Tårs"
"Johannes Hansens Vej 3, 9830 Tårs"
"Rolighed 12, 9830 Tårs"
"Sæby Landevej 19, 9830 Tårs"
"Bredgade 47D, 9830 Tårs"
"Bollervej 5B, 9830 Tårs"
"Bredgade 47, 9830 Tårs"
"Bredgade 75, 9830 Tårs"
"Åsmarkvej 75, 9830 Tårs"
"Damhusvej 21, 9830 Tårs"
"Damhusvej 25, 9830 Tårs"
"Damhusvej 29, 9830 Tårs"
"Sæby Landevej 405, 9830 Tårs"
"Sæbyvej 759, 9830 Tårs"
"Harpsøvej 15, 9830 Tårs"
"Bredgade 31, 9830 Tårs"
"Morildvej 155, 9830 Tårs"
"Sæbyvej 842, 9830 Tårs"
"Morildvej 308, 9830 Tårs"
"Tidemandsholmsvej 7, Sæsing, 9830 Tårs"
"Bjørnstrupvej 190, 9830 Tårs"
"Bredgade 149, st., 9830 Tårs"
"Bredgade 149, 1., 9830 Tårs"
"Terpetvej 409, 9830 Tårs"
